"id","name","lon","lat","type"
8507179,"Sundlauenen, Dorf",7.79485,46.68774,"Bus"
8576882,"Sundlauenen, Geisskilche",7.76294,46.68281,"Bus"
8576884,"Sundlauenen, Pilgerweg",7.78816,46.68545,"Bus"
8507261,"Sunnbüel",7.65044,46.45796,"Kabinenbahn"
8530213,"Sunnegga",7.76999,46.0173,"Kabinenbahn_Standseilbahn"
8530219,"Sunnegga (Breitboden)",7.77092,46.01708,"Sesselbahn"
8531172,"Sunnegga (Eisflue)",7.76855,46.01634,"Sesselbahn"
8591720,"Sur GR Alp Flix, Tgalucas",9.64973,46.52978,"Bus"
8591721,"Sur GR Alp Flix, Tigias Hotel",9.65545,46.52163,"Bus"
8591719,"Sur GR Alp Flix, Truaschigna",9.63933,46.524,"Bus"
8501174,"Sur Roche",6.63892,46.64046,"Zug"
8594181,"Sur, baselgia",9.63187,46.52333,"Bus"
8509889,"Sur, plazza dalla posta",9.62933,46.51992,"Bus"
8517485,"Sur-le-Buis",7.10062,46.3533,"Zug"
8509193,"Surava",9.62094,46.66685,"Zug"
8574873,"Surava, Abzw. Bahnhof",9.61824,46.66738,"Bus"
8509305,"Surava, Dorf",9.61254,46.66557,"Bus"
8574870,"Surava, Pro Quarta",9.62709,46.66654,"Bus"
8510924,"Surcuolm, Camping",9.14352,46.76015,"Bus"
8581517,"Surcuolm, Cavrida",9.14107,46.76297,"Bus"
8509694,"Surcuolm, Valata",9.13708,46.76321,"Bus"
8511031,"Surcuolm, spv. Canetg",9.147,46.75935,"Bus"
8509306,"Surcuolm, vitg",9.14372,46.75834,"Bus"
8578994,"Sureggio",8.97054,46.04918,"Bus"
8579003,"Sureggio, Al Loco",8.97282,46.05351,"Bus"
